"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 28 18:35:00 CST 2022","Wed Sep 28 18:35:00 CST 2022","156","Applets-user","test_my","","","","test_1_alter_user_avatar","用户头像修改"
"failed","Wed Sep 28 18:35:03 CST 2022","Wed Sep 28 18:35:03 CST 2022","293","Applets-user","test_my","","","","test_16_open_membership","会员开通"
"passed","Wed Sep 28 18:35:05 CST 2022","Wed Sep 28 18:35:05 CST 2022","120","Applets-user","test_public_module","","","","test_4_logistics_company_message","物流公司信息"
"passed","Wed Sep 28 18:35:06 CST 2022","Wed Sep 28 18:35:06 CST 2022","173","Applets-user","test_saled_order_management","","","","test_4_after_sales_detail","售后详情"
"failed","Wed Sep 28 18:35:02 CST 2022","Wed Sep 28 18:35:02 CST 2022","45","Applets-user","test_my","","","","test_11_my_collect_list","我的收藏列表"
"passed","Wed Sep 28 18:35:02 CST 2022","Wed Sep 28 18:35:02 CST 2022","120","Applets-user","test_my","","","","test_12_delete_my_collect","我的收藏列表"
"passed","Wed Sep 28 18:35:06 CST 2022","Wed Sep 28 18:35:07 CST 2022","135","Applets-user","test_shopping_cart","","","","test_2_shopping_cart_list","购物车列表"
"passed","Wed Sep 28 18:35:04 CST 2022","Wed Sep 28 18:35:04 CST 2022","150","Applets-user","test_order_management","","","","test_2_order_detail","订单详情"
"passed","Wed Sep 28 18:35:05 CST 2022","Wed Sep 28 18:35:05 CST 2022","105","Applets-user","test_qichacha","","","","test_4_bid_task_type","招投标任务分类"
"failed","Wed Sep 28 18:35:02 CST 2022","Wed Sep 28 18:35:03 CST 2022","143","Applets-user","test_my","","","","test_13_pay_margin","保证金缴纳"
"passed","Wed Sep 28 18:35:06 CST 2022","Wed Sep 28 18:35:06 CST 2022","165","Applets-user","test_shopping_cart","","","","test_1_add_shopping_cart","加入购物车"
"passed","Wed Sep 28 18:35:05 CST 2022","Wed Sep 28 18:35:05 CST 2022","94","Applets-user","test_qichacha","","","","test_3_my_subscribe_channel","我的订阅频道"
"passed","Wed Sep 28 18:35:04 CST 2022","Wed Sep 28 18:35:04 CST 2022","172","Applets-user","test_order_management","","","","test_3_search_record_delete","我的订单"
"failed","Wed Sep 28 18:35:04 CST 2022","Wed Sep 28 18:35:04 CST 2022","105","Applets-user","test_order_management","","","","test_1_order_evaluate","订单评价"
"failed","Wed Sep 28 18:35:06 CST 2022","Wed Sep 28 18:35:06 CST 2022","105","Applets-user","test_saled_order_management","","","","test_2_apply_after_sales","售后申请"
"failed","Wed Sep 28 18:35:00 CST 2022","Wed Sep 28 18:35:01 CST 2022","150","Applets-user","test_my","","","","test_2_alter_phone","修改手机号"
"passed","Wed Sep 28 18:35:01 CST 2022","Wed Sep 28 18:35:01 CST 2022","120","Applets-user","test_my","","","","test_4_user_message","用户信息"
"failed","Wed Sep 28 18:35:03 CST 2022","Wed Sep 28 18:35:03 CST 2022","90","Applets-user","test_my","","","","test_14_apply_refund_margin","保证金申请退还"
"failed","Wed Sep 28 18:35:03 CST 2022","Wed Sep 28 18:35:04 CST 2022","173","Applets-user","test_my","","","","test_19_withdrawal_record","提现记录"
"passed","Wed Sep 28 18:35:02 CST 2022","Wed Sep 28 18:35:02 CST 2022","133","Applets-user","test_my","","","","test_8_delete_address","地址删除"
"passed","Wed Sep 28 18:35:05 CST 2022","Wed Sep 28 18:35:05 CST 2022","120","Applets-user","test_qichacha","","","","test_5_bid_detail","招投标详情"
"passed","Wed Sep 28 18:35:07 CST 2022","Wed Sep 28 18:35:07 CST 2022","142","Applets-user","test_shopping_cart","","","","test_3_alter_shopping_commodity_number","购物车修改商品数量"
